date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:23:43	149/149	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2030%20Nov%202024%2019:53:42%20GMT	https://vajira-api.vercel.app/robots.txt		(from )
01:23:43	22039/22039	---MCZ	200	added ('OK')	text/html	etag:W/%225617-1668f272800%22	https://vajira-api.vercel.app/	/storage/emulated/0/HTTrack/Websites/Vajira/vajira-api.vercel.app/index.html	(from )
01:23:45	68028/68028	---MCZ	200	added ('OK')	text/css	etag:W/%22109bc-IH/O3L/2oFuyFxGxc9h5/AQWzS0%22	https://cdn.jsdelivr.net/npm/boxicons@latest/css/boxicons.min.css	/storage/emulated/0/HTTrack/Websites/Vajira/cdn.jsdelivr.net/npm/boxicons@latest/css/boxicons.min.css	(from https://vajira-api.vercel.app/)
01:23:46	70597/70597	---M--	200	added ('OK')	image/jpeg	date:Sat,%2030%20Nov%202024%2019:53:45%20GMT	https://raw.githubusercontent.com/DarkYasiyaMr/DARKYASIYA-BOT-IMFOMATION/main/yasiya.jpg	/storage/emulated/0/HTTrack/Websites/Vajira/raw.githubusercontent.com/DarkYasiyaMr/DARKYASIYA-BOT-IMFOMATION/main/yasiya.jpg	(from https://vajira-api.vercel.app/)
01:23:47	194901/194901	---M-Z	200	added ('OK')	text/css	etag:W/%22645c577a-2f955%22	https://ferdiz-afk.github.io/Nice/assets/vendor/bootstrap/css/bootstrap.min.css	/storage/emulated/0/HTTrack/Websites/Vajira/ferdiz-afk.github.io/Nice/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://vajira-api.vercel.app/)
01:23:48	95609/95609	---M-Z	200	added ('OK')	text/css	etag:W/%22645c577a-17579%22	https://ferdiz-afk.github.io/Nice/assets/vendor/bootstrap-icons/bootstrap-icons.css	/storage/emulated/0/HTTrack/Websites/Vajira/ferdiz-afk.github.io/Nice/assets/vendor/bootstrap-icons/bootstrap-icons.css	(from https://vajira-api.vercel.app/)
01:23:48	24743/24743	---M-Z	200	added ('OK')	text/css	etag:W/%22645c577a-60a7%22	https://ferdiz-afk.github.io/Nice/assets/vendor/quill/quill.snow.css	/storage/emulated/0/HTTrack/Websites/Vajira/ferdiz-afk.github.io/Nice/assets/vendor/quill/quill.snow.css	(from https://vajira-api.vercel.app/)
01:23:49	25273/25273	---M-Z	200	added ('OK')	text/css	etag:W/%22645c577a-62b9%22	https://ferdiz-afk.github.io/Nice/assets/vendor/quill/quill.bubble.css	/storage/emulated/0/HTTrack/Websites/Vajira/ferdiz-afk.github.io/Nice/assets/vendor/quill/quill.bubble.css	(from https://vajira-api.vercel.app/)
01:23:51	110438/110438	---M-Z	200	added ('OK')	text/css	etag:W/%22645c577a-1af66%22	https://ferdiz-afk.github.io/Nice/assets/vendor/remixicon/remixicon.css	/storage/emulated/0/HTTrack/Websites/Vajira/ferdiz-afk.github.io/Nice/assets/vendor/remixicon/remixicon.css	(from https://vajira-api.vercel.app/)
01:23:51	3990/3990	---M-Z	200	added ('OK')	text/css	etag:W/%22645c577a-f96%22	https://ferdiz-afk.github.io/Nice/assets/vendor/simple-datatables/style.css	/storage/emulated/0/HTTrack/Websites/Vajira/ferdiz-afk.github.io/Nice/assets/vendor/simple-datatables/style.css	(from https://vajira-api.vercel.app/)
01:23:52	20977/20977	---M-Z	200	added ('OK')	text/css	etag:W/%22645c577a-51f1%22	https://ferdiz-afk.github.io/Nice/assets/css/style.css	/storage/emulated/0/HTTrack/Websites/Vajira/ferdiz-afk.github.io/Nice/assets/css/style.css	(from https://vajira-api.vercel.app/)
